id,sentence_id,english,japanese,created_at,updated_at
47,10,fiction,"作り話, 虚構",2021-11-9,2021-11-9
48,11,novel,(長編)小説(作品),2021-11-9,2021-11-9
49,11,combine,combine A with[and] B: AとBを組み合わせる,2021-11-9,2021-11-9
50,11,prose,散文,2021-11-9,2021-11-9
51,11,gift,(天賦の)才能,2021-11-9,2021-11-9
52,11,poetry,(文学の一分野の)詩,2021-11-9,2021-11-9
53,11,publish...,...を出版する,2021-11-9,2021-11-9
54,12,up-to-date...,(情報などが)最新の...,2021-11-9,2021-11-9
55,12,edition,(本などの)版,2021-11-9,2021-11-9
56,12,encyclopedia,百科事典,2021-11-9,2021-11-9
57,12,come out,"(新製品が)発売される, (本が)出版される",2021-11-9,2021-11-9
58,13,translate (...) (from A into B),(...を)(AからBに)翻訳する,2021-11-9,2021-11-9
59,13,fascinating,(人を)魅了する,2021-11-9,2021-11-9
60,13,fairy,fairy tale [story]: おとぎ話,2021-11-9,2021-11-9
61,13,tale,"話, 物語",2021-11-9,2021-11-9
62,13,plain,平易な,2021-11-9,2021-11-9
63,14,following,(伝える内容が)以下の...,2021-11-9,2021-11-9
64,14,passage,(文章などの)一説,2021-11-9,2021-11-9
65,14,quote(...),(...を)引用する,2021-11-9,2021-11-9
66,14,well-known,有名な,2021-11-9,2021-11-9
67,14,fable,寓話,2021-11-9,2021-11-9
68,15,familliar,be familiar with...: ...を(よく)知っている,2021-11-9,2021-11-9
69,15,comtemporary,現代の,2021-11-9,2021-11-9
70,15,literature,文学,2021-11-9,2021-11-9
71,15,next to...,ほとんど...,2021-11-9,2021-11-9
72,16,at times,"たまに, 時々",2021-11-9,2021-11-9
73,16,confuse...,confuse A with [and] B: AとBを混同する,2021-11-9,2021-11-9
74,16,curve,曲線,2021-11-9,2021-11-9
75,16,carve,...を彫る,2021-11-9,2021-11-9
76,17,shy,恥ずかしがりの,2021-11-9,2021-11-9
77,17,pronunciation,発音,2021-11-9,2021-11-9
78,17,more or less,だいたい,2021-11-9,2021-11-9
79,17,correct,正しい,2021-11-9,2021-11-9
80,18,article,記事,2021-11-9,2021-11-9
81,18,contain...,...を含んでいる,2021-11-9,2021-11-9
82,18,tip,役立つ情報,2021-11-9,2021-11-9
83,18,those who〜,〜という人たち,2021-11-9,2021-11-9
84,18,eager,be eager to do...: しきりに...したがっている,2021-11-9,2021-11-9
85,18,increase(...),...を増やす,2021-11-9,2021-11-9
86,18,vocabulary,語彙,2021-11-9,2021-11-9
87,19,latest,最新の,2021-11-9,2021-11-9
88,19,work,作品,2021-11-9,2021-11-9
89,19,display,be on display: 展示されている,2021-11-9,2021-11-9
90,19,hall,city hall: [City Hallとも書く] 市庁舎,2021-11-9,2021-11-9
91,19,fabulous,すてきな,2021-11-9,2021-11-9
92,19,description,beyond description: 言葉では表せない(ほど),2021-11-9,2021-11-9
93,20,move over,(人が座れるように)席を詰める,2021-11-9,2021-11-9
94,20,realize...,...ということに気付く,2021-11-9,2021-11-9
95,20,take up...,(必要以上に)...(空間・時間など)を取る,2021-11-9,2021-11-9
96,21,ugly,"醜い, 不格好[不細工]な",2021-11-9,2021-11-9
97,21,object,"物体, 物",2021-11-9,2021-11-9
98,21,a piece of...,1つ[1個]の...,2021-11-9,2021-11-9
99,21,abstract,抽象的な,2021-11-9,2021-11-9
100,22,beg(...),(...人に)すがってお願いする,2021-11-9,2021-11-9
101,22,lend...A,...にA(物・金)を貸す,2021-11-9,2021-11-9
102,22,buck,ドル,2021-11-9,2021-11-9
103,22,shake one's head,"NOと言う, 首を横に振る",2021-11-9,2021-11-9
104,22,be (flat) broke,"(全然)お金がない, すっからかんだ",2021-11-9,2021-11-9
105,23,apt,be apt to do...: (とかく)...しがちである,2021-11-9,2021-11-9
106,23,impulse,on impulse: 衝動的に,2021-11-9,2021-11-9
107,23,on sale,{米}バーゲン[特売]で,2021-11-9,2021-11-9
108,23,So am I.,[先行文に答えて]私もそうです[同じです],2021-11-9,2021-11-9
109,24,as it is,[文頭で](残念ながら)実際のところ,2021-11-9,2021-11-9
110,24,ordinary,普通の,2021-11-9,2021-11-9
111,24,can afford...,can afford to do...: ...する(金銭的・時間的な)余裕がある,2021-11-9,2021-11-9
112,24,purchase...,...を購入する,2021-11-9,2021-11-9
113,24,luxury,贅沢品,2021-11-9,2021-11-9
114,25,anticipate,...を予期する,2021-11-9,2021-11-9
115,25,unemployment,失業(状態),2021-11-9,2021-11-9
116,25,rate,"率, 割合",2021-11-9,2021-11-9
117,25,rise,"(数・量などが)上がる, 増える",2021-11-9,2021-11-9
118,25,quarter,四半期,2021-11-9,2021-11-9
119,25,row,in a row: 連続で,2021-11-9,2021-11-9
120,26,cut down on...,...を減らす,2021-11-9,2021-11-9
121,26,expense,(個々の)出費,2021-11-9,2021-11-9
122,26,from now on,これからは,2021-11-9,2021-11-9
123,26,keep track of...,...の動き[流れ]を常に記録する,2021-11-9,2021-11-9
124,26,daily,毎日の,2021-11-9,2021-11-9
125,26,on a ... basis,...という基準[やり方]で,2021-11-9,2021-11-9
126,27,case,"in any case: とにかく, いずれにせよ",2021-11-9,2021-11-9
127,27,union,労働組合,2021-11-9,2021-11-9
128,27,compromise (...),[-(on...)] (...について)妥協する,2021-11-9,2021-11-9
129,27,certain,(特定はできないが)ある...,2021-11-9,2021-11-9
130,27,extent,to ... extent: ...の程度,2021-11-9,2021-11-9
131,28,competent,(要求される一定の)能力[技能]を持つ,2021-11-9,2021-11-9
132,28,mechanic,"(機械の)整備士, 修理工",2021-11-9,2021-11-9
133,28,demand,be in demand: 需要がある,2021-11-9,2021-11-9
134,28,earn...,...(金)を稼ぐ,2021-11-9,2021-11-9
135,28,decent,かなりよい,2021-11-9,2021-11-9
136,28,wages,(時間・日数などで計算される)賃金,2021-11-9,2021-11-9
137,29,president,[the - ] 大統領,2021-11-9,2021-11-9
138,29,announce...,...を公表[発表]する,2021-11-9,2021-11-9
139,29,concrete,(計画などが)具体的な,2021-11-9,2021-11-9
140,29,carry ... out,...(計画・任務など)を実行する,2021-11-9,2021-11-9
141,29,welfare,福祉,2021-11-9,2021-11-9
142,29,reform,(制度などの)改革,2021-11-9,2021-11-9
143,30,policy,政策,2021-11-9,2021-11-9
144,30,doubt,no doubt: きっと,2021-11-9,2021-11-9
145,30,lead (...),lead to...: ...(結果)に到る[を導く],2021-11-9,2021-11-9
146,30,dismal,(結果・状況などが)気分を暗くさせる,2021-11-9,2021-11-9
147,30,consequence,"(当然の)結果, 影響",2021-11-9,2021-11-9
148,30,thorough,(調査などが)徹底的な,2021-11-9,2021-11-9
149,30,review,見直し,2021-11-9,2021-11-9
150,31,it goes without saying that 〜,〜は言うまでもない,2021-11-9,2021-11-9
151,31,aging,高齢化,2021-11-9,2021-11-9
152,31,inevitable,避けられない,2021-11-9,2021-11-9
153,32,take a look at...,...をちょっと見る,2021-11-9,2021-11-9
154,32,chart,"図, 表",2021-11-9,2021-11-9
155,32,indicate...,...(事実・兆候など)を示す,2021-11-9,2021-11-9
156,32,juvenile,"青少年の, 少年の",2021-11-9,2021-11-9
157,32,delinquency,非行,2021-11-9,2021-11-9
158,32,be on the increase,増加している,2021-11-9,2021-11-9
159,32,alarming,(悪いことの増加が)深刻な,2021-11-9,2021-11-9
160,32,at a ... rate,...なペース[割合]で,2021-11-9,2021-11-9
161,33,district,地区,2021-11-9,2021-11-9
162,33,a lot of... / lots of...,たくさんの,2021-11-9,2021-11-9
163,33,vacant,(家・座席などが)誰もいない,2021-11-9,2021-11-9
164,33,lot,1区画,2021-11-9,2021-11-9
165,33,be for sale,売り物である,2021-11-9,2021-11-9
166,34,population,人口,2021-11-9,2021-11-9
167,34,density,密度,2021-11-9,2021-11-9
168,34,metropolis,大都市,2021-11-9,2021-11-9
169,34,gradually,徐々に,2021-11-9,2021-11-9
170,34,decrease (...),現象[低下]する,2021-11-9,2021-11-9
171,35,in all likelihood,ほぼ間違いなく,2021-11-9,2021-11-9
172,35,birthrate,出生率,2021-11-9,2021-11-9
173,35,continue (...),continue to do...: ...し続ける,2021-11-9,2021-11-9
174,35,decline (...),減少する,2021-11-9,2021-11-9
175,35,steadily,着実に,2021-11-9,2021-11-9
176,35,... to come,これから来る...,2021-11-9,2021-11-9
177,36,power,(電気・ガスなどの)エネルギー,2021-11-9,2021-11-9
178,36,plant,power plant: 発電所,2021-11-9,2021-11-9
179,36,supply A (with B),Aに(Bを)供給する,2021-11-9,2021-11-9
180,36,remote,(距離などが)遠く離れた,2021-11-9,2021-11-9
181,36,county,(米国の)郡,2021-11-9,2021-11-9
182,36,electricity,電気,2021-11-9,2021-11-9
183,37,allow...,allow A to do...: Aに...することを許す,2021-11-9,2021-11-9
184,37,operate (...),...(機械)を動かす[操作する],2021-11-9,2021-11-9
185,37,device,装置,2021-11-9,2021-11-9
186,37,permission,(正式な)許可,2021-11-9,2021-11-9
187,38,in (actual) fact,実際は,2021-11-9,2021-11-9
188,38,inhabitant,住民,2021-11-9,2021-11-9
189,38,expose...,expose A to B: AをBにさらす,2021-11-9,2021-11-9
190,38,radiation,"放射能, 放射線",2021-11-9,2021-11-9
191,39,cannot do ... too much,いくら...してもし過ぎるということはない,2021-11-9,2021-11-9
192,39,emphasize,...を強調[力説]する,2021-11-9,2021-11-9
193,39,potential,潜在的な...,2021-11-9,2021-11-9
194,39,danger,"危険(な状況), 危険性",2021-11-9,2021-11-9
195,39,nuclear,"核の, 原子力の",2021-11-9,2021-11-9
196,39,energy,(石油・電気などの)エネルギー,2021-11-9,2021-11-9
197,40,press,[the - ] 報道陣[機関],2021-11-9,2021-11-9
198,40,overlook...,(不注意で)...(重要なこと)を見落とす[見過ごす],2021-11-9,2021-11-9
199,40,if anything,"むしろ, どちらかと言えば",2021-11-9,2021-11-9
200,40,make...of A,Aに対して...な評価[判断]をする,2021-11-9,2021-11-9
201,41,as well as...,...だけではなく,2021-11-9,2021-11-9
202,41,cultivate...,...(作物)を栽培する,2021-11-9,2021-11-9
203,41,grain,[集合的に]穀物,2021-11-9,2021-11-9
204,41,farmer,(近代的な)農場経営者,2021-11-9,2021-11-9
205,41,run (...),...を経営[運営]する,2021-11-9,2021-11-9
206,41,grocery store,食料雑貨店,2021-11-9,2021-11-9
207,42,research (into / on),(...に関する)研究[調査],2021-11-9,2021-11-9
208,42,institute,"理系の大学, 組織",2021-11-9,2021-11-9
209,42,establish...,...を設立する,2021-11-9,2021-11-9
210,42,late,"[the [one's] - ] ...後半の, ...後半",2021-11-9,2021-11-9
211,42,1960s,1960年代,2021-11-9,2021-11-9
212,43,Why don't you do...?,...をしたら？,2021-11-9,2021-11-9
213,43,consult ... (about A),(Aに関して)...(専門家など)に相談する,2021-11-9,2021-11-9
214,43,in person,(電話や代理人を使わず)本人と直接会って,2021-11-9,2021-11-9
215,43,by far,"(比較級・最上級を強めて)はるかに, 間違いなく",2021-11-9,2021-11-9
216,43,prominent,"(人が)傑出した, 著名な",2021-11-9,2021-11-9
217,43,attorney,{米}弁護士,2021-11-9,2021-11-9
218,44,write ... down,(忘れないように)...を書き留める,2021-11-9,2021-11-9
219,44,just in case,[文末に用いて]念のため,2021-11-9,2021-11-9
220,44,have a bad memory,記憶力が悪い,2021-11-9,2021-11-9
221,45,recommend...,recommend (that) A (should) do...: A(人)に...するのがいいと勧める,2021-11-9,2021-11-9
222,45,client,"(弁護士・設計事務所などの)依頼人, 顧客",2021-11-9,2021-11-9
223,45,legal,法的な...,2021-11-9,2021-11-9
224,45,action,take (...) action: (...な)行動をとる,2021-11-9,2021-11-9
225,45,insurance,保険,2021-11-9,2021-11-9
226,46,entitle...,be entitled to do...: ...する権利がある,2021-11-9,2021-11-9
227,46,compensate (A) for B,(A(人)が被った)B(損害)を補償する,2021-11-9,2021-11-9
228,46,injury,"(事故・スポーツなどによる)けが, 負傷",2021-11-9,2021-11-9
229,47,so far,現在までに,2021-11-9,2021-11-9
230,47,no less than...,...もの(多くの),2021-11-9,2021-11-9
231,47,die of [from],...(病気など)で死ぬ,2021-11-9,2021-11-9
232,47,flu,[the - ] インフルエンザ,2021-11-9,2021-11-9
233,47,epidemic,(伝染病の)流行,2021-11-9,2021-11-9
234,48,effect,効果,2021-11-9,2021-11-9
235,48,pill,錠剤,2021-11-9,2021-11-9
236,48,intense,"(感情・勢いなどが)激しい, 強烈な",2021-11-9,2021-11-9
237,48,brief,短時間の,2021-11-9,2021-11-9
238,49,habit,have a habit of doing...: ...する(よくない)癖がある,2021-11-9,2021-11-9
239,49,bite (...),(...を)噛む,2021-11-9,2021-11-9
240,49,nail,爪,2021-11-9,2021-11-9
241,49,absolutely,全く,2021-11-9,2021-11-9
242,49,disgusting,ぞっとするような,2021-11-9,2021-11-9
243,50,grandma,おばあちゃん,2021-11-9,2021-11-9
244,50,strain (...),(無理をして)...(体の一部)を痛める,2021-11-9,2021-11-9
245,50,back,"背中, 腰",2021-11-9,2021-11-9
246,50,bend (...),bend down[over]: 腰をかがめる,2021-11-9,2021-11-9
247,50,hug...,...を(ぎゅっと)抱きしめる,2021-11-9,2021-11-9
248,51,stiff,(筋肉などが)凝った,2021-11-9,2021-11-9
249,51,herbal,"薬草の, 漢方の",2021-11-9,2021-11-9
250,51,remedy,治療(法),2021-11-9,2021-11-9
251,52,medical,医学の...,2021-11-9,2021-11-9
252,52,breakthrough,(化学・技術などの)飛躍的な発展,2021-11-9,2021-11-9
253,52,bring ... about,...(変化など)をもたらす,2021-11-9,2021-11-9
254,52,benefit,"(恩恵, 幸福などの非金銭的な)利益",2021-11-9,2021-11-9
255,52,humanity,人類,2021-11-9,2021-11-9
256,52,... as a whole,...全体[一つ]として,2021-11-9,2021-11-9
257,53,apply (...),apply A to B: A(理論など)をBに応用[適用]する,2021-11-9,2021-11-9
258,53,clone...,...のクローンを作る,2021-11-9,2021-11-9
259,53,technique,(実用的な)技術,2021-11-9,2021-11-9
260,53,cattle,(畜産用の)牛,2021-11-9,2021-11-9
261,53,let alone...,(否定文に続いて)...はなおさら(〜でない),2021-11-9,2021-11-9
262,53,human(being),(神・動物・機械に対して)人間,2021-11-9,2021-11-9
263,53,forbid...,(絶対的な圧力で)...(行為)を禁止する,2021-11-9,2021-11-9
264,54,whale,鯨,2021-11-9,2021-11-9
265,54,classify...,...を分類する,2021-11-9,2021-11-9
266,54,mammal,哺乳類,2021-11-9,2021-11-9
267,55,theory,"理論, 学説",2021-11-9,2021-11-9
268,55,evolution,進化,2021-11-9,2021-11-9
269,55,beyond [out of] the reach of...,...の届かない範囲に,2021-11-9,2021-11-9
270,55,imagination,想像力,2021-11-9,2021-11-9
271,56,biologist,生物学者,2021-11-9,2021-11-9
272,56,proud,be proud of...: ...を誇りに思う,2021-11-9,2021-11-9
273,56,historic,歴史的(に重要)な,2021-11-9,2021-11-9
274,56,discovery,発見,2021-11-9,2021-11-9
275,56,boast (...),boast about [of]...: ...を自慢げに離す,2021-11-9,2021-11-9
276,57,ethical,"倫理上の, 倫理的な",2021-11-9,2021-11-9
277,57,ground,on ... grounds: ...な理由から,2021-11-9,2021-11-9
278,57,oppose...,be opposed to...: ...に反対である,2021-11-9,2021-11-9
279,57,so-called,いわゆる,2021-11-9,2021-11-9
280,57,gene,遺伝子,2021-11-9,2021-11-9
281,57,therapy,"(特殊な)治療, 療法",2021-11-9,2021-11-9
282,58,initial,最初の...,2021-11-9,2021-11-9
283,58,symptom,"(病気の)兆候, 症状",2021-11-9,2021-11-9
284,58,disease,病気,2021-11-9,2021-11-9
285,58,fever,(病気による)高熱,2021-11-9,2021-11-9
286,58,sore,(炎症などを起こして)痛い,2021-11-9,2021-11-9
287,58,throat,喉,2021-11-9,2021-11-9
288,59,structure,構造,2021-11-9,2021-11-9
289,59,brain,脳,2021-11-9,2021-11-9
290,59,complex,(構造などが)複雑な,2021-11-9,2021-11-9
291,60,owing to...,"...のために, ...が理由で",2021-11-9,2021-11-9
292,60,illness,病気,2021-11-9,2021-11-9
293,60,representative,代表(者),2021-11-9,2021-11-9
294,60,absent,be absent from...: ...を欠席する,2021-11-9,2021-11-9
295,60,annual,年に1度の...,2021-11-9,2021-11-9
296,60,conference,(公式の大きな)会議,2021-11-9,2021-11-9
297,61,little by little,徐々に,2021-11-9,2021-11-9
298,61,son-in-law,娘婿,2021-11-9,2021-11-9
299,61,recover (...),recover from...: ...(病気)から回復する,2021-11-9,2021-11-9
300,61,stomach,胃,2021-11-9,2021-11-9
301,61,cancer,癌,2021-11-9,2021-11-9
302,61,spirit,be in ... spirits: ...な気分[精神状態]である,2021-11-9,2021-11-9
303,62,fake,偽物の,2021-11-9,2021-11-9
304,62,genuine,(物が)本物の,2021-11-9,2021-11-9
305,62,antique,骨董品,2021-11-9,2021-11-9
306,62,No way!,まさか(信じられない)！,2021-11-9,2021-11-9
307,63,Anything else?,ほかに何か？,2021-11-9,2021-11-9
308,63,That's it.,(それで)以上です,2021-11-9,2021-11-9
309,63,For here or to go,(ファーストフード店などで)こちらでお召し上がりですか(それともお持ち帰りですか)？,2021-11-9,2021-11-9
310,64,rug,(床の一部に敷く装飾的な)敷物,2021-11-9,2021-11-9
311,64,including...,...を含めて,2021-11-9,2021-11-9
312,64,tax,税金,2021-11-9,2021-11-9
313,64,I'll take it.,それ[これ]にします[決めます],2021-11-9,2021-11-9
314,65,pants,"(男女用とも)(洋服の)パンツ, ズボン",2021-11-9,2021-11-9
315,65,look good [nice] on...,(服などが)...(人)に似合う,2021-11-9,2021-11-9
316,65,try ... on,...を試しに着てみる,2021-11-9,2021-11-9
317,65,be in,流行っている,2021-11-9,2021-11-9
318,66,get out (of...),(...(小型の車など)から)降りる,2021-11-9,2021-11-9
319,66,cab,タクシー,2021-11-9,2021-11-9
320,66,in haste,急いで,2021-11-9,2021-11-9
321,66,Keep the change.,おつりはいりません,2021-11-9,2021-11-9
322,67,delivery,配達,2021-11-9,2021-11-9
323,67,service,(便利な)サービス,2021-11-9,2021-11-9
324,67,available,(ものが)利用[入手・購入]可能な,2021-11-9,2021-11-9
325,67,customer,(小売業・飲食業・企業の)客,2021-11-9,2021-11-9
326,67,slight,(量・程度が)わずかな,2021-11-9,2021-11-9
327,67,extra,追加の,2021-11-9,2021-11-9
328,67,charge,料金,2021-11-9,2021-11-9
329,68,It's on me.,(この支払いは)私のおごりです,2021-11-9,2021-11-9
330,68,treat...,...にごちそうする[ごほうびをあげる],2021-11-9,2021-11-9
331,68,every time 〜,〜するときはいつでも,2021-11-9,2021-11-9
332,68,eat out,外食する,2021-11-9,2021-11-9
333,68,split (...),split the check: 割り勘にする,2021-11-9,2021-11-9
334,68,check,(レストランの)伝票,2021-11-9,2021-11-9
335,69,hang out,"(友達と[どこか]で)何となく時間を過ごす, ぶらぶらする",2021-11-9,2021-11-9
336,69,mall,(巨大な)ショッピングセンター[モール],2021-11-9,2021-11-9
337,69,run into...,...(人)に偶然出会う,2021-11-9,2021-11-9
338,70,be short of...,...が不足している,2021-11-9,2021-11-9
339,70,withdraw (...),...(預金など)を引き出す,2021-11-9,2021-11-9
340,70,deposit...,...(お金など)を預ける,2021-11-9,2021-11-9
341,70,account,(銀行)口座,2021-11-9,2021-11-9
342,71,on the [one's] way (to...),(...に向かう)途中で,2021-11-9,2021-11-9
343,71,rob...,rob A of B: 人(から)B(物・金)を奪う,2021-11-9,2021-11-9
344,71,purse,{米}(女性用の)ハンドバッグ,2021-11-9,2021-11-9
345,72,odd,奇妙な,2021-11-9,2021-11-9
346,72,happen,(偶然・不意に)起こる,2021-11-9,2021-11-9
347,72,explain (...),explain A to B: AをB(人)に説明する,2021-11-9,2021-11-9
348,73,curfew,門限,2021-11-9,2021-11-9
349,73,punishment,罰,2021-11-9,2021-11-9
350,73,break one's promise [word],約束を破る,2021-11-9,2021-11-9
351,74,proverb,as the proverb goes[says]: 諺にある通り,2021-11-9,2021-11-9
352,74,end,(最終)目的,2021-11-9,2021-11-9
353,74,justify...,...を正当化する,2021-11-9,2021-11-9
354,74,means,手段,2021-11-9,2021-11-9
355,75,now (that) 〜,(さあ[いまや])〜なのだから,2021-11-9,2021-11-9
356,75,turn to...,(辛い[困った]時)...に頼る,2021-11-9,2021-11-9
357,75,stand on one's own two feet,(人が)自立する,2021-11-9,2021-11-9
358,76,chairman / chairwoman,(会議などの)議長,2021-11-9,2021-11-9
359,76,cut ... off,...(人)の話を遮る,2021-11-9,2021-11-9
360,76,wind (...),wind (...) up: (...(会合など)を)終わりにする,2021-11-9,2021-11-9
361,76,vote,take a vote: 決を採る,2021-11-9,2021-11-9
362,77,exchange...,...を交換する,2021-11-9,2021-11-9
363,77,frank,(よい意味で)率直な,2021-11-9,2021-11-9
364,77,opinion,"意見, 考え",2021-11-9,2021-11-9
365,77,meeting,"(会社などの)会議, 打ち合わせ",2021-11-9,2021-11-9
366,77,consensus,(グループ内の)まとまった意見,2021-11-9,2021-11-9
367,77,have[be] yet to do...,まだ...していない,2021-11-9,2021-11-9
368,77,reach (...),...(合計・結論など)に達する,2021-11-9,2021-11-9
369,77,regarding...,...に関して,2021-11-9,2021-11-9
370,77,matter,"事柄, 問題",2021-11-9,2021-11-9
371,78,agree,agree with...: ...(人)と同じ意見である,2021-11-9,2021-11-9
372,78,disagree,disagree with...: ...(人)と意見が異なる,2021-11-9,2021-11-9
373,78,be on one's side,...の見方[側]である,2021-11-9,2021-11-9
374,79,strictly,strictly speaking: 厳密に言うと,2021-11-9,2021-11-9
375,79,view,"考え, 見解",2021-11-9,2021-11-9
376,79,differ,differ from...: ...と異なる,2021-11-9,2021-11-9
377,79,somewhat,いくらか,2021-11-9,2021-11-9
378,80,go over...,...(の全体)をよくみる[説明する / 考える],2021-11-9,2021-11-9
379,80,make ... out,[通例 can - ]...(わかりにくいこと)を理解できる,2021-11-9,2021-11-9
380,80,be getting at...,...を言おうとしている,2021-11-9,2021-11-9
381,81,back (...) up,...を後援[支持]する,2021-11-9,2021-11-9
382,81,at first,最初は,2021-11-9,2021-11-9
383,81,eventually,最終的には,2021-11-9,2021-11-9
384,81,talk A into doing...,A(人)を説得して...させる,2021-11-9,2021-11-9
385,81,go along with...,...(意見など)に賛成する,2021-11-9,2021-11-9
386,82,admire...,"...をすばらしい[すごい]と思う, ...に感心する",2021-11-9,2021-11-9
387,82,perseverence,不屈の努力,2021-11-9,2021-11-9
388,82,courage,勇気,2021-11-9,2021-11-9
389,82,wisdom,知恵,2021-11-9,2021-11-9
390,82,flatter...,You flatter me.: お世辞でもうれしいよ,2021-11-9,2021-11-9
391,83,in doing...,...する時は,2021-11-9,2021-11-9
392,83,make a decision,どうするかは決める,2021-11-9,2021-11-9
393,83,rely on [upon]...,...に頼る,2021-11-9,2021-11-9
394,83,not A but B,AではなくB,2021-11-9,2021-11-9
395,83,logic,論理,2021-11-9,2021-11-9
396,83,instinct,本能,2021-11-9,2021-11-9
397,84,come up with...,...(うまい考えなど)を考え出す,2021-11-9,2021-11-9
398,84,ingenius,(考えなどが)独創的な,2021-11-9,2021-11-9
399,84,sensible,(人・判断などが)賢明な,2021-11-9,2021-11-9
400,84,solution (to...),(...に対する)解決策,2021-11-9,2021-11-9
401,84,immediately,直ちに,2021-11-9,2021-11-9
402,84,put ... into practice,...(考え・計画など)を実行に移す,2021-11-9,2021-11-9
403,85,objective,客観的な,2021-11-9,2021-11-9
404,85,from ... viewpoint,...の見地[観点]からすると,2021-11-9,2021-11-9
405,85,former,[the - ] 前者,2021-11-9,2021-11-9
406,85,inferior,be inferior to...: ...よりも劣る,2021-11-9,2021-11-9
407,85,latter,[the - ] 後者,2021-11-9,2021-11-9
408,86,sound...,(聞いたところ)...のようだ,2021-11-9,2021-11-9
409,86,marvelous,すばらしい,2021-11-9,2021-11-9
410,86,in theory,理論的には,2021-11-9,2021-11-9
411,86,yet,しかし(それでも),2021-11-9,2021-11-9
412,86,in practice,(理論ではなく)実際には,2021-11-9,2021-11-9
413,87,expect...,expect A to do...: Aが...することを期待する,2021-11-9,2021-11-9
414,87,defeat...,"...(相手)に勝つ, ...(相手)を負かす",2021-11-9,2021-11-9
415,87,opponent,"(論争・試合などの)相手, 対抗者",2021-11-9,2021-11-9
416,87,fail (...),fail to do...: (そうすべきなのに)...しない,2021-11-9,2021-11-9
417,87,live up to one's expectation,...の期待に応える,2021-11-9,2021-11-9
418,88,ironically,皮肉にも,2021-11-9,2021-11-9
419,88,despite...,...にもかかわらず,2021-11-9,2021-11-9
420,88,endeavor,"(壮大な)試み, 努力",2021-11-9,2021-11-9
421,88,mission,"(政治的・軍事的な)任務, 使命",2021-11-9,2021-11-9
422,88,result in...,...(結果)に終わる,2021-11-9,2021-11-9
423,88,complete,全くの...,2021-11-9,2021-11-9
424,88,failure,失敗,2021-11-9,2021-11-9
